person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,user_id,recipe_id
1149,b25_35,US,High_school,No Dietary Restrictions,Lose weight,High,Healthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,1149,143
1150,bover_55,US,MSc,Vegetarian,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Female,Bow Ties with Sausage' Tomatoes and Cream,1150,28
1152,bover_55,US,MSc,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more vegetables",High,Healthy,Female,Pico de Gallo Chicken Quesadillas,1152,119
1153,bover_55,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Healthy,Female,Stuffed Peppers My Way,1153,169
1154,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Eat more vegetables,Lose weight",High,Neither_healthy_no_unhealthy,Female,Easy Chicken Satay,1154,68
1155,b35_45,US,BA,No Dietary Restrictions,"Eat more protein,Lose weight",High,Very_Healthy,Female,Coconut Shrimp I,1155,60
1157,bover_55,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit",Medium,Neither_healthy_no_unhealthy,Male,Kielbasa with Peppers and Potatoes,1157,104
1158,b45_55,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Female,California Grilled Veggie Sandwich,1158,37
1159,bover_55,US,MSc,Diabetes,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Clam Sauce with Linguine,1159,58
1160,b25_35,US,BA,No Dietary Restrictions,Eat more vegetables,Medium,Neither_healthy_no_unhealthy,Female,Asian Beef Skewers,1160,3
1161,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Pizza On The Grill I,1161,120
1162,bover_55,US,BA,Halal,Eat more vegetables,Very High,Very_Healthy,Female,Easy Chicken Satay,1162,68
1163,b35_45,US,BA,Vegetarian,"Eat more fruit,Eat more protein",High,Healthy,Female,California Grilled Veggie Sandwich,1163,37
1164,b25_35,UM,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein",Medium,Healthy,Female,Peppered Shrimp Alfredo,1164,118
1165,b45_55,US,MSc,"Diabetes, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Female,Chicken and Bacon Shish Kabobs,1165,52
1166,b25_35,US,BA,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",High,Healthy,Female,Chicken Souvlaki Gyro Style,1166,51
1167,b35_45,US,High_school,No Dietary Restrictions,Lose weight,Medium,Healthy,Male,Quick Chicken Piccata,1167,126
1168,b45_55,US,BA,Vegetarian,"Eat less sugar,Eat more protein,Eat more vegetables",Medium,Healthy,Male,Tasty Lentil Tacos,1168,177
1169,b35_45,US,BA,Vegetarian,Eat more fruit,High,Neither_healthy_no_unhealthy,Female,California Grilled Veggie Sandwich,1169,37
1170,b35_45,US,High_school,No Dietary Restrictions,"Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Spinach and Feta Turkey Burgers,1170,167
1171,b45_55,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Female,Sausage' Peppers' Onions' and Potato Bake,1171,142
1172,b35_45,US,High_school,"Gluten-free, Lactose intolerance, Other","Eat more protein,Lose weight",Medium,Very_Healthy,Female,Farmer's Market Vegetarian Quesadillas,1172,70
2009,b35_45,US,BA,No dietary restrictions,"Eat less sugar,Eat more protein,Eat more vegetables",Very High,Healthy,Female,Simple Carnitas,2009,149
2010,b25_35,US,BA,"Halal, Lactose intolerance","Eat less sugar,Eat more fruit",Medium,Healthy,Male,Sesame Seared Tuna,2010,145
2011,b18_24,US,MSc,No dietary restrictions,No goals,Very High,Very_Healthy,Female,World's Best Lasagna,2011,186
2012,b35_45,US,BA,Diabetes,"Eat less sugar,Eat more fruit",Medium,Neither_healthy_no_unhealthy,Female,Baby Back Ribs,2012,10
2013,b25_35,US,BA,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Male,Garlic Prime Rib,2013,78
2014,b35_45,US,BA,No dietary restrictions,Eat less sugar,Low,Neither_healthy_no_unhealthy,Female,Easy Chicken Satay,2014,68
2015,b25_35,US,BA,Vegetarian,"Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables",Very_Low,Very_Healthy,Male,Pizza On The Grill I,2015,120
2016,b45_55,US,High_school,No dietary restrictions,Lose weight,Medium,Healthy,Female,Firecracker Grilled Alaska Salmon,2016,72
2018,b35_45,US,MSc,No dietary restrictions,No goals,Medium,Very_Healthy,Male,Grilled Tilapia with Mango Salsa,2018,91
2021,b35_45,US,BA,Vegetarian,Lose weight,Medium,Healthy,Female,Spinach and Feta Pita Bake,2021,166
2022,b25_35,US,Less_high_school,No dietary restrictions,Lose weight,Low,Neither_healthy_no_unhealthy,Male,Smoky Grilled Pork Chops,2022,156
2023,b25_35,US,High_school,Pescatarian,"Eat less sugar,Eat more vegetables,Lose weight",Very High,Healthy,Female,Spinach and Feta Pita Bake,2023,166
2024,b25_35,US,BA,No dietary restrictions,No goals,High,Healthy,Male,Italian Subs - Restaurant Style,2024,98
2025,b35_45,US,BA,No dietary restrictions,Eat more protein,High,Healthy,Female,World's Best Lasagna,2025,186
